symbol,shortName,regularMarketPrice,regularMarketOpen,regularMarketPreviousClose,regularMarketDayHigh,regularMarketDayLow,regularMarketVolume,regularMarketChange,regularMarketChangePercent,regularMarketTime,data_coleta,marketCap,priceEarnings,earningsPerShare
PETR4,PETR4,36.89,37.16,36.89,37.16,36.53,27507000,-0.22,-0.59,2026-02-14 15:49:44+00:00,2026-02-14 12:54:54.542307,491389525370.0,6.1333067318403245,6.0147108
VALE3,VALE3,87.03,87.57,86.78,88.14,86.02,28644800,-2.2,-2.47,2026-02-14 15:49:44+00:00,2026-02-14 12:54:55.154166,371511815545.0,26.986046511627908,3.2360644
ITUB4,ITUB4,47.77,48.07,47.77,48.07,46.6,32353500,-0.47,-0.97,2026-02-14 15:49:44+00:00,2026-02-14 12:54:55.586369,506326353918.0,12.178457616316127,4.1106696
BBDC4,BBDC4,20.97,20.99,21.01,21.12,20.41,45493100,-0.26,-1.22,2026-02-14 15:54:44+00:00,2026-02-14 12:54:56.203482,206534475104.0,9.370810617570829,2.2377527
WEGE3,WEGE3,53.8,53.24,53.77,54.52,53.15,7178500,-0.23,-0.43,2026-02-14 15:54:44+00:00,2026-02-14 12:54:56.802898,225745427267.0,34.82651475919213,1.5450888
MGLU3,MGLU3,10.23,9.89,10.25,10.36,9.77,19363800,0.08,0.79,2026-02-14 15:54:44+00:00,2026-02-14 12:54:57.424809,7210724820.0,21.53684210526316,0.4756929
ABEV3,ABEV3,16.35,16.12,16.34,16.41,16.1,23238400,-0.17,-1.03,2026-02-14 15:54:44+00:00,2026-02-14 12:54:58.042907,257632496489.0,16.538539348573742,0.9927829
JBSS32,JBSS32,83.22,81.8,83.5,83.9,81.23,392584,1.42,1.74,2026-02-14 15:54:44+00:00,2026-02-14 12:54:58.736318,89321535715.77847,9.704277251737487,8.5756124
BBAS3,BBAS3,25.43,25.5,25.43,25.59,24.53,61597600,-0.6,-2.31,2026-02-14 15:54:44+00:00,2026-02-14 12:54:59.260664,145429502956.0,10.59804125859554,2.3994715
BOVA11,BOVA11,182.98,181.85,182.74,183.0,180.1,7279780,-1.3,-0.71,2026-02-14 15:54:44+00:00,2026-02-14 12:54:59.875742,,,
